Accession,Country,Collection_Date
KP122066.1,Thailand,2014-10-31
KP122067.1,Thailand,2014-10-31
KP122068.1,Thailand,2014-10-31
KP122069.1,Thailand,2014-10-31
KP122070.1,Thailand,2014-10-31
KP122072.1,Thailand,2014-10-31
KP122073.1,Thailand,2014-10-31
KP122075.1,Thailand,2014-10-31
KP122077.1,Thailand,2014-10-31
KP122078.1,Thailand,2014-10-31
KP122079.1,Thailand,2014-10-31
KP122080.1,Thailand,2014-10-31
KP122081.1,Thailand,2014-10-31
KP122082.1,Thailand,2014-10-31
KP122083.1,Thailand,2014-10-31
KP122084.1,Thailand,2014-10-31
KP122085.1,Thailand,2014-10-31
KP122086.1,Thailand,2014-10-31
KP122087.1,Thailand,2014-10-31
KP122088.1,Thailand,2014-10-31
KP122089.1,Thailand,2014-10-31
KP122090.1,Thailand,2014-10-31
KP137044.1,Thailand,2014-10-31
KP137045.1,Thailand,2014-10-31
JQ728980.1,China,2010
JQ728981.1,China,2010
JQ728982.1,China,2010
JQ728983.1,China,2010
JQ728984.1,China,2010
JQ728985.1,China,2010
JQ728986.1,China,2010
JQ728987.1,China,2010
JQ728988.1,China,2010
JQ728989.1,China,2010
JX417879.1,Gabon,2008
JN788289.1,China,2010-09
JN788290.1,China,2010-09
JN788291.1,China,2010-09
JN788292.1,China,2010-09
JN788293.1,China,2010-09
JN788294.1,China,2010-09
JN788295.1,China,2010-09
JN788296.1,China,2010-09
JN788297.1,China,2010-09
JN788298.1,China,2010-09
JN788299.1,China,2010-09
JN788300.1,China,2010-09
JN788301.1,China,2010-09
JN788302.1,China,2010-09
JN788303.1,China,2010-09
JN788304.1,China,2010-09
JN788305.1,China,2010-09
JN788306.1,China,2010-09
JN788307.1,China,2010-09
JN788308.1,China,2010-09
JF742580.1,China,2010-09-27
JF742581.1,China,2010-09-27
JF742582.1,China,2010-09-28
JF742583.1,China,2010-09-28
JF742584.1,China,2010-09-28
JF742585.1,China,2010-09-28
JF742586.1,China,2010-09-27
JF742587.1,China,2010-09-27
JF742588.1,China,2010-09-27
JF742589.1,China,2010-09-27
JF742590.1,China,2010-09-27
JF742591.1,China,2010-09-27
JF742592.1,China,2010-09-27
JF742593.1,China,2010-09-30
JF742594.1,China,2010-09-14
JF742595.1,China,2010-09-28
GU983170.1,Brazil,2003
GU983171.1,Brazil,2003
GU983172.1,Brazil,2003
GU983173.1,Brazil,2003
GU983174.1,Brazil,2003
GU983175.1,Brazil,2003
GU983176.1,Brazil,2003
GU983177.1,Brazil,2003
GU983178.1,Brazil,2003
GU983179.1,Brazil,2003
GU983180.1,Brazil,2003
GU983181.1,Brazil,2003
GU983182.1,Brazil,2003
GU983183.1,Brazil,2003
GU983184.1,Brazil,2003
GU983185.1,Brazil,2003
GU983186.1,Brazil,2003
GU983187.1,Brazil,2003
GU983188.1,Brazil,2003
GU983189.1,Brazil,2003
GU983191.1,Brazil,2004
GU983192.1,Brazil,2004
GU983193.1,Brazil,2004
GU983194.1,Brazil,2004
GU983195.1,Brazil,2004
GU983196.1,Brazil,2004
GU983197.1,Brazil,2004
GU983198.1,Brazil,2005
GU983199.1,Brazil,2005
GU983200.1,Brazil,2005
GU983201.1,Brazil,2005
GU983202.1,Brazil,2005
GU983203.1,Brazil,2005
GU983204.1,Brazil,2009
GU983205.1,Brazil,2009
GU983206.1,Brazil,2009
HQ699666.1,China,2010-09
HQ699667.1,China,2010-09
HQ699668.1,China,2010-09
HQ699669.1,China,2010-09
GU477573.1,India,2007-10-03
GU477574.1,India,2007-10-03
GU477575.1,India,2007-10-05
GU477576.1,India,2007-10-01
GU477577.1,India,2007-10-03
GU477578.1,India,2007-10-04
GU477579.1,India,2007-10-03
GU477580.1,India,2007-10-03
GU477581.1,India,2007-10-03
GU477582.1,India,2007-10-05
GU477583.1,India,2007-10-05
GU477584.1,India,2007-10-03
GU906790.1,China,1997
GQ229398.1,China,2007
GQ229399.1,China,2007
FJ868371.1,Australia,2006-10-12
GQ429279.1,China,2007-09-28
GQ429280.1,China,2008-09-25
GQ429286.1,China,2008-09-25
GQ429287.1,China,2008-09-30
GQ429288.1,China,2008-09-30
GQ329725.1,China,2003
